gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.115422886,0.001275098,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0.464788732,1,0,1,0,1,0,0,0,0,0.385074627,0.215866605,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0.014084507,1,0,1,1,0,0,0,0,1,0.354228856,0.010310408,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0.61971831,0,0,1,0,1,1,0,0,0,0.239303483,0.210241172,1,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0.014084507,1,0,0,0,0,0,0,0,1,0.521890547,0.015330025,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.098591549,1,1,0,0,1,0,1,1,1,0.809950249,0.092510962,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1,0.295774648,1,1,0,1,0,0,1,0,1,0.704975124,0.222778675,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,0.126760563,0,0,1,0,0,0,0,0,0,0.114427861,0.032667898,1,0,0,1,0,0,0,0,0,1,0
1,0,1,0,0.38028169,1,1,0,0,1,1,1,1,1,0.86119403,0.349324948,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1,0.85915493,1,0,1,1,0,0,0,0,0,0.377114428,0.400317332,1,0,0,0,1,0,1,0,0,0,0
0,0,1,1,0.169014085,1,0,1,0,0,0,0,0,1,0.315422886,0.065618509,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.211267606,1,0,0,0,0,0,0,0,0,0.006965174,0.035541195,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0.802816901,1,1,0,0,1,0,1,1,0,0.816915423,0.653392569,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0.676056338,1,1,0,1,1,0,1,1,1,0.850248756,0.578986845,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0.338028169,1,0,1,0,1,1,1,1,1,0.868159204,0.307783291,0,1,0,1,0,0,0,0,1,0,0
1,0,1,1,0.957746479,1,1,1,1,1,1,1,1,0,0.945273632,0.908879529,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0.718309859,1,0,0,0,0,0,0,0,0,0.023880597,0.115872375,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0.985915493,1,1,1,0,1,0,1,1,0,0.880099502,0.849694207,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,0.126760563,1,0,0,0,1,1,0,0,0,0.367661692,0.058798754,1,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0.281690141,1,0,0,1,1,0,0,1,1,0.714427861,0.212797138,0,1,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,1,0,0,1,1,0.212935323,0.002405954,1,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0.154929577,1,0,0,0,0,0,0,0,0,0.015422886,0.021168936,0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.018905473,0.000155781,0,0,1,1,0,0,0,0,0,1,1
1,0,1,0,0.802816901,1,1,0,1,0,1,0,0,1,0.414427861,0.40229633,1,0,0,0,0,1,0,1,0,0,0
0,0,1,1,0.676056338,1,0,1,1,0,1,0,0,0,0.411442786,0.340583891,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0.408450704,1,0,1,1,0,0,0,0,1,0.368656716,0.174451881,1,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0.647887324,1,1,0,1,0,0,1,1,1,0.806965174,0.545851604,0,1,0,1,0,0,0,0,1,0,1
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.118905473,0.001315486,1,0,0,1,0,0,0,0,1,0,1
0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.71641791,0.732823679,1,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0.225352113,1,0,0,0,0,0,1,1,1,0.462189055,0.123967228,1,0,0,1,0,0,0,0,0,1,1
1,1,1,0,0.985915493,1,1,1,1,1,1,0,0,1,0.777114428,0.778692592,0,1,0,0,0,1,0,1,0,0,0
0,1,1,0,0.014084507,1,0,0,0,1,0,1,1,1,0.768656716,0.01879183,0,1,0,1,0,0,0,1,0,0,0
1,0,1,1,0.366197183,1,0,1,1,1,1,0,0,0,0.476616915,0.214129933,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.019402985,0.000161551,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.268656716,0.003052158,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,1,1,1,1,1,0,1,1,0,0,0.812437811,0.834629587,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0.056338028,1,0,0,0,0,0,0,0,1,0.511940299,0.0343988,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.633802817,1,0,0,0,1,0,0,0,1,0.562686567,0.407281329,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0.464788732,1,1,0,1,1,0,1,1,1,0.876616915,0.407390953,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.14084507,1,1,0,0,1,0,1,1,1,0.792039801,0.125386568,0,1,0,1,0,0,1,0,0,0,1
0,0,1,1,0.126760563,1,0,0,1,0,0,0,0,0,0.311442786,0.052723286,1,0,0,0,1,0,0,0,0,1,0
1,0,1,1,0.971830986,1,1,1,1,0,0,1,0,1,0.506965174,0.560068082,1,0,0,0,0,1,0,1,0,0,0
1,0,1,1,0.225352113,1,0,0,0,0,0,0,0,0,0.024875622,0.04609393,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0.873239437,1,1,1,1,1,1,1,0,1,0.612935323,0.558810293,1,0,0,0,0,1,0,1,0,0,0
1,0,1,0,0.169014085,1,1,1,1,0,1,1,0,1,0.576616915,0.111083545,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0.676056338,1,1,0,0,0,0,0,1,1,0.65920398,0.448638357,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0.014084507,1,0,0,1,0,0,0,0,0,0.308457711,0.009023771,1,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0.014084507,1,0,0,0,0,0,1,0,1,0.620895522,0.014464574,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0,0.718309859,1,1,1,0,0,1,1,1,1,0.611940299,0.484537272,1,0,0,0,0,1,0,1,0,0,0
1,0,1,1,0.957746479,1,1,1,0,1,1,0,0,1,0.456716418,0.488726056,1,0,0,0,0,1,0,1,0,0,0
1,1,0,0,0.591549296,1,1,0,1,0,0,1,0,1,0.71641791,0.440797369,0,1,0,1,0,0,0,0,1,0,0
1,0,0,0,0.197183099,1,0,1,1,0,0,1,1,1,0.804477612,0.162427879,0,1,0,1,0,0,0,1,0,0,1
1,1,1,0,0.338028169,1,1,1,0,0,1,1,0,1,0.509950249,0.200075006,1,0,0,1,0,0,0,1,0,0,0
1,1,1,0,0.098591549,1,1,0,1,0,0,0,0,1,0.620895522,0.070909301,0,1,0,1,0,0,0,1,0,0,1
1,1,1,1,0.830985915,1,0,1,1,1,1,0,1,1,0.56318408,0.51206439,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0.23943662,1,1,0,0,0,0,1,1,1,0.768159204,0.200063466,0,1,0,1,0,0,0,0,1,0,1
1,0,1,1,0.873239437,1,1,1,0,0,0,1,1,1,0.809950249,0.726102008,0,1,0,0,1,0,0,1,0,0,0
